Epoch,Num trials,Number correct,Time
0,75466,3255,137.66948266606778
1,75466,9255,116.99031159793958
2,75466,14817,115.72856787685305
3,75466,18217,114.67577546299435
4,75466,20805,113.61130304005928
5,75466,24425,115.00393043202348
6,75466,26708,116.3602825331036
7,75466,28313,117.71461870986968
8,75466,30114,118.59551141504198
9,75466,31266,120.00982148386538
10,75466,32529,121.68399578193203
11,75466,33793,122.66798258782364
12,75466,34611,124.26628572517075
13,75466,35031,125.68390825996175
14,75466,35790,126.85005612694658
15,75466,36099,127.552780152997
16,75466,36513,128.22827043407597
17,75466,37199,128.54894714104012
18,75466,36439,128.09068954596296
19,75466,37722,128.95514916698448
20,75466,38376,128.17344946600497
21,75466,38644,128.35676375404
22,75466,38430,127.97020628210157
23,75466,39085,128.643366079079
24,75466,39281,129.4899604730308
25,75466,39862,129.86808919510804
26,75466,39991,129.30948414094746
27,75466,39904,130.2253987151198
28,75466,38601,130.11628447519615
29,75466,40327,131.27705823490396
30,75466,40843,131.12066622404382
31,75466,41218,130.83862959011458
32,75466,41092,131.19999040709808
33,75466,41345,131.6306646191515
34,75466,41608,131.68664677999914
35,75466,41851,131.45315626100637
36,75466,41713,131.29032603092492
37,75466,42017,131.93585285986774
38,75466,41783,131.58675514394417
39,75466,42254,132.26786152785644
40,75466,42763,131.75126844202168
41,75466,42942,131.7960734469816
42,75466,43162,132.0382212700788
43,75466,42994,132.542594330851
44,75466,43088,132.3369340361096
45,75466,42905,132.36273775901645
46,75466,43341,133.39227070100605
47,75466,43164,133.52882381994277
48,75466,43246,132.88581794081256
49,75466,43466,133.34631742793135
50,75466,43485,132.82616271497682
51,75466,43565,133.18193468893878
52,75466,40327,131.14219881780446
53,75466,43078,134.48901594686322
54,75466,43722,134.29984339885414
55,75466,43586,133.68562120595016
56,75466,43360,133.47504724003375
57,75466,43419,132.93880114005879
58,75466,43464,133.24129501800053
59,75466,43361,133.32509882492013
60,75466,43505,133.52110595884733
61,75466,43159,132.98419409710914
62,75466,43255,133.10771804396063
63,75466,43497,133.43854207196273
64,75466,43727,134.12128683412448
65,75466,42703,133.63319076993503
66,75466,43492,134.9733481251169
67,75466,43104,134.4746597390622
68,75466,43918,135.04426753195003
69,75466,43425,135.11689463816583
70,75466,43764,135.2954147499986
71,75466,43584,135.2798342469614
72,75466,43337,134.45166212809272
73,75466,43541,134.83941310900263
74,75466,44086,135.1284778059926
75,75466,44002,135.43763929395936
76,75466,43446,135.47488932614215
77,75466,43708,135.51449070498347
78,75466,43404,134.9327423060313
79,75466,43567,135.37442247383296
80,75466,43030,135.71620241203345
81,75466,43845,136.1062395181507
82,75466,44147,135.53776654112153
83,75466,43489,135.1960310919676
84,75466,43473,135.20075036399066
85,75466,44173,135.63209552597255
86,75466,44109,135.05033951089717
87,75466,44246,135.58730940986425
88,75466,44295,135.4482209701091
89,75466,44060,135.65500609599985
90,75466,44428,135.5561741918791
91,75466,44258,135.9831357470248
92,75466,44348,135.407982256962
93,75466,44712,135.40985324187204
94,75466,44498,135.4203970800154
95,75466,44444,135.39272349793464
96,75466,44561,135.26538600912318
97,75466,44840,135.5715965188574
98,75466,44968,135.7373949738685
99,75466,44712,135.7444989020005
