Epoch,Num trials,Number correct,Time
0,15800,960,28.060908711000593
1,15800,2420,23.21672478600067
2,15800,4741,23.70405659700009
3,15800,6864,23.60513613999956
4,15800,8188,23.571460010999544
5,15800,9090,23.20843342399985
6,15800,9648,22.998168007999993
7,15800,10197,22.758876887999577
8,15800,10649,22.547805098000026
9,15800,11185,22.622790049000287
10,15800,11601,22.364085488000455
11,15800,11915,22.29582324400053
12,15800,12268,22.2172916720001
13,15800,12439,21.981566453000596
14,15800,12641,21.886632942001597
15,15800,12846,21.795485382999686
16,15800,12958,21.558044666999194
17,15800,13075,21.62244191500031
18,15800,13220,21.48779908800134
19,15800,13428,21.485262325000804
20,15800,13402,21.252624005001053
21,15800,13499,21.17206827299924
22,15800,13613,21.276544623999143
23,15800,13751,21.188872257000185
24,15800,13857,21.056623550999575
25,15800,13881,21.125610643999607
26,15800,13896,21.00015980200078
27,15800,13943,20.868330322000475
28,15800,13931,20.859734945999662
29,15800,14118,20.981412656999964
30,15800,14200,20.919316339000943
31,15800,14189,20.817230706999908
32,15800,14248,20.843092052999054
33,15800,14217,20.821684321001158
34,15800,14361,20.791204683000615
35,15800,14365,20.76656483900115
36,15800,14400,20.710932025000147
37,15800,14404,20.680179855999086
38,15800,14450,20.653642238999964
39,15800,14402,20.603393448000134
40,15800,14586,20.662576832000923
41,15800,14511,20.53358583299996
42,15800,14582,20.55308080100076
43,15800,14613,20.604651519999607
44,15800,14653,20.46985081099956
45,15800,14587,20.427054789999602
46,15800,14653,20.5496936870004
47,15800,14662,20.459100241998385
48,15800,14718,20.469704156999796
49,15800,14685,20.472233459000563
