Time,VDD_CPU_GPU_CV,VDD_SOC
2.9408000045805238e-05,1.465,1.386
0.9991390719997071,1.019,1.388
1.9988406719999148,0.898,1.347
3.0001537279999866,0.898,1.347
3.9994079999996757,0.898,1.347
5.00018937599998,0.898,1.347
6.004009536000012,0.939,1.347
7.003473920000033,0.898,1.347
8.003294879999885,0.898,1.347
9.005082271999981,0.898,1.347
10.010773311999856,1.059,1.388
11.013193183999647,1.386,1.386
12.013922111999818,1.386,1.426
13.015025215999685,1.386,1.426
14.015752639999846,1.386,1.426
15.015601055999923,1.386,1.426
16.018519360000028,1.386,1.426
17.01969187199984,1.383,1.426
18.019613599999957,1.386,1.426
19.020707455999855,1.383,1.426
20.020505087999936,1.386,1.426
21.02150348799978,1.386,1.426
22.02272591999963,1.386,1.426
23.024126591999902,1.424,1.426
24.02509571199971,1.383,1.426
25.02601612799981,1.383,1.426
26.02784233600005,1.383,1.426
27.029027327999756,1.383,1.426
28.030663519999962,1.424,1.426
29.029784928000026,1.383,1.426
30.02969491199974,1.383,1.426
31.031493599999976,1.383,1.426
32.03260956799977,1.383,1.426
33.03332431999979,1.383,1.426
34.03335324799991,1.383,1.426
35.035265311999865,1.383,1.426
36.037559615999726,1.383,1.426
37.03673388799962,1.383,1.426
38.03813724799966,1.383,1.426
39.04377177599963,1.546,1.386
40.040747583999746,2.682,1.424
41.03906713599963,2.357,1.465
42.03993683199997,1.546,1.386
43.045662816000004,2.198,1.386
44.054784191999715,2.682,1.465
45.0415302399997,1.913,1.386
46.046219391999784,1.467,1.386
47.04306095999982,2.479,1.424
48.05342377599982,3.124,1.465
49.063520607999635,3.164,1.503
50.058804383999814,3.164,1.465
51.061962975999904,3.083,1.506
52.052552191999894,3.043,1.503
53.048907999999756,1.587,1.386
54.05065078400003,1.304,1.386
55.05315903999963,1.424,1.426
56.05579788799969,2.84,1.828
57.05743100799964,3.002,1.869
58.05603475199996,1.668,1.549
59.05536540799994,0.978,1.388
60.056545343999915,0.898,1.388
61.05565987199998,0.898,1.347
62.058274975999666,0.898,1.388
63.05793011199967,0.898,1.347
64.05840239999998,0.898,1.347
65.06046441599983,0.898,1.347
66.060764544,0.898,1.347
67.06121366399975,0.898,1.347
68.06304278399966,0.896,1.347
