Time,VDD_CPU_GPU_CV,VDD_SOC
2.278400006616721e-05,1.467,1.386
0.9973728320001101,1.019,1.388
1.9968854399999145,0.898,1.388
2.998585024000022,0.939,1.388
3.997293119999995,0.898,1.388
4.998442591999719,0.898,1.388
6.002817728000082,0.939,1.388
7.000909375999981,0.898,1.388
8.001258335999864,0.898,1.347
9.001066943999831,0.898,1.347
10.008213503999741,1.059,1.388
11.00863705599977,1.386,1.426
12.009151872000075,1.386,1.426
13.011480415999813,1.386,1.426
14.011083903999861,1.386,1.426
15.012544352000077,1.386,1.426
16.013973311999962,1.386,1.426
17.01472822400001,1.386,1.426
18.01580976000014,1.386,1.426
19.01606723199984,1.386,1.426
20.01776070400001,1.386,1.426
21.018870431999858,1.386,1.426
22.019137215999763,1.386,1.426
23.02381027199999,1.424,1.426
24.026104799999757,1.383,1.467
25.023789695999767,1.383,1.426
26.024152672000127,1.424,1.426
27.025314239999716,1.383,1.426
28.027143071999944,1.386,1.426
29.028303168000093,1.383,1.426
30.02889091199995,1.383,1.426
31.03024662400003,1.383,1.426
32.03120150399991,1.383,1.426
33.031982911999876,1.383,1.426
34.033998399999746,1.383,1.426
35.03351868799973,1.383,1.426
36.034736191999855,1.383,1.426
37.034861183999965,1.383,1.426
38.03520553599992,1.383,1.426
39.03670291199978,1.386,1.386
40.04093148799984,2.682,1.424
41.03767900799994,2.6,1.465
42.038406847999795,1.546,1.386
43.04648166400011,2.157,1.386
44.052576447999854,2.722,1.465
45.04067052799974,1.994,1.426
46.039945632000126,1.506,1.386
47.0589236159999,2.722,1.424
48.052483519999896,3.205,1.463
49.06412540800011,3.246,1.503
50.05378803199983,3.205,1.463
51.05841168000006,3.002,1.506
52.05482115199993,3.124,1.503
53.04715158399995,1.587,1.386
54.04887839999992,1.304,1.386
55.0516991999998,1.546,1.508
56.05314614400004,3.397,2.349
57.0542189759999,3.119,2.231
58.05165299200007,1.1,1.429
59.05165312000008,0.896,1.388
60.052104639999925,0.896,1.388
61.05377753599987,0.898,1.347
62.054692255999726,0.898,1.388
63.05649635200007,0.896,1.388
64.05612175999977,0.898,1.347
65.05773142399994,0.898,1.388
66.05939990399975,0.898,1.388
67.0601589439998,0.898,1.388
